,forecast_date,publish_time_utc,margin
0,2024-10-03,2024-10-01T13:00:00Z,2690.0
1,2024-10-04,2024-10-01T13:00:00Z,7117.0
2,2024-10-05,2024-10-01T13:00:00Z,18875.0
3,2024-10-06,2024-10-01T13:00:00Z,16535.0
4,2024-10-07,2024-10-01T13:00:00Z,14364.0
5,2024-10-08,2024-10-01T13:00:00Z,17459.0
6,2024-10-09,2024-10-01T13:00:00Z,13644.0
7,2024-10-10,2024-10-01T13:00:00Z,13559.0
8,2024-10-11,2024-10-01T13:00:00Z,13068.0
9,2024-10-12,2024-10-01T13:00:00Z,16560.0
10,2024-10-13,2024-10-01T13:00:00Z,14684.0
11,2024-10-14,2024-10-01T13:00:00Z,11747.0
12,2024-10-15,2024-10-01T13:00:00Z,13032.0
