,timestamp_utc,settlement_date,settlement_period,data_provider,price,volume
0,2024-05-04T22:00:00Z,2024-05-04,47,APXMIDP,71.21,1566.25
1,2024-05-04T22:30:00Z,2024-05-04,48,APXMIDP,71.0,1329.0
2,2024-05-04T23:00:00Z,2024-05-05,1,APXMIDP,81.34,1290.85
3,2024-05-04T23:30:00Z,2024-05-05,2,APXMIDP,82.18,1084.55
4,2024-05-05T00:00:00Z,2024-05-05,3,APXMIDP,73.44,1121.75
5,2024-05-05T00:30:00Z,2024-05-05,4,APXMIDP,73.53,1067.45
6,2024-05-05T01:00:00Z,2024-05-05,5,APXMIDP,75.23,1005.45
7,2024-05-05T01:30:00Z,2024-05-05,6,APXMIDP,76.11,1230.75
8,2024-05-05T02:00:00Z,2024-05-05,7,APXMIDP,75.1,702.7
9,2024-05-05T02:30:00Z,2024-05-05,8,APXMIDP,73.68,819.85
10,2024-05-05T03:00:00Z,2024-05-05,9,APXMIDP,77.17,733.75
11,2024-05-05T03:30:00Z,2024-05-05,10,APXMIDP,78.93,859.3
12,2024-05-05T04:00:00Z,2024-05-05,11,APXMIDP,71.31,940.2
13,2024-05-05T04:30:00Z,2024-05-05,12,APXMIDP,71.47,1082.7
14,2024-05-05T05:00:00Z,2024-05-05,13,APXMIDP,68.11,920.15
15,2024-05-05T05:30:00Z,2024-05-05,14,APXMIDP,68.37,1151.4
16,2024-05-05T06:00:00Z,2024-05-05,15,APXMIDP,75.85,986.45
17,2024-05-05T06:30:00Z,2024-05-05,16,APXMIDP,74.68,992.15
18,2024-05-05T07:00:00Z,2024-05-05,17,APXMIDP,64.21,1170.8
19,2024-05-05T07:30:00Z,2024-05-05,18,APXMIDP,69.82,1001.5
20,2024-05-05T08:00:00Z,2024-05-05,19,APXMIDP,69.88,876.35
21,2024-05-05T08:30:00Z,2024-05-05,20,APXMIDP,68.54,949.3
22,2024-05-05T09:00:00Z,2024-05-05,21,APXMIDP,68.39,1127.6
23,2024-05-05T09:30:00Z,2024-05-05,22,APXMIDP,67.84,1039.95
24,2024-05-05T10:00:00Z,2024-05-05,23,APXMIDP,66.33,1267.5
25,2024-05-05T10:30:00Z,2024-05-05,24,APXMIDP,70.28,1768.6
26,2024-05-05T11:00:00Z,2024-05-05,25,APXMIDP,77.01,1658.45
27,2024-05-05T11:30:00Z,2024-05-05,26,APXMIDP,77.51,1937.4
28,2024-05-05T12:00:00Z,2024-05-05,27,APXMIDP,81.55,1739.0
29,2024-05-05T12:30:00Z,2024-05-05,28,APXMIDP,82.02,1878.55
30,2024-05-05T13:00:00Z,2024-05-05,29,APXMIDP,85.06,1822.05
31,2024-05-05T13:30:00Z,2024-05-05,30,APXMIDP,86.23,1884.0
32,2024-05-05T14:00:00Z,2024-05-05,31,APXMIDP,86.44,1706.3
33,2024-05-05T14:30:00Z,2024-05-05,32,APXMIDP,82.86,1809.7
34,2024-05-05T15:00:00Z,2024-05-05,33,APXMIDP,75.11,1549.45
35,2024-05-05T15:30:00Z,2024-05-05,34,APXMIDP,70.97,1907.9
36,2024-05-05T16:00:00Z,2024-05-05,35,APXMIDP,71.29,2097.4
37,2024-05-05T16:30:00Z,2024-05-05,36,APXMIDP,70.9,2237.05
38,2024-05-05T17:00:00Z,2024-05-05,37,APXMIDP,75.44,2356.45
39,2024-05-05T17:30:00Z,2024-05-05,38,APXMIDP,74.92,2451.1
40,2024-05-05T18:00:00Z,2024-05-05,39,APXMIDP,79.05,2087.35
41,2024-05-05T18:30:00Z,2024-05-05,40,APXMIDP,78.82,2114.55
42,2024-05-05T19:00:00Z,2024-05-05,41,APXMIDP,80.07,1888.2
43,2024-05-05T19:30:00Z,2024-05-05,42,APXMIDP,79.65,1964.45
44,2024-05-05T20:00:00Z,2024-05-05,43,APXMIDP,81.74,1924.85
45,2024-05-05T20:30:00Z,2024-05-05,44,APXMIDP,80.41,1938.75
46,2024-05-05T21:00:00Z,2024-05-05,45,APXMIDP,77.35,1630.75
47,2024-05-05T21:30:00Z,2024-05-05,46,APXMIDP,74.87,1921.2
