,timestamp_utc,settlement_date,settlement_period,solar_mw,wind_offshore_mw,wind_onshore_mw
0,2024-05-04T22:00:00Z,2024-05-04,47,0.0,1493.1260000000002,892.8863333333334
1,2024-05-04T22:30:00Z,2024-05-04,48,0.0,1493.1260000000002,892.8863333333334
2,2024-05-04T23:00:00Z,2024-05-05,1,0.0,1139.843,878.7646666666666
3,2024-05-04T23:30:00Z,2024-05-05,2,0.0,1139.843,878.7646666666666
4,2024-05-05T00:00:00Z,2024-05-05,3,0.0,884.438,834.943
5,2024-05-05T00:30:00Z,2024-05-05,4,0.0,884.438,834.943
6,2024-05-05T01:00:00Z,2024-05-05,5,0.0,723.23,823.649
7,2024-05-05T01:30:00Z,2024-05-05,6,0.0,723.23,823.649
8,2024-05-05T02:00:00Z,2024-05-05,7,0.0,633.662,812.354
9,2024-05-05T02:30:00Z,2024-05-05,8,0.0,633.662,812.354
10,2024-05-05T03:00:00Z,2024-05-05,9,0.0,560.441,794.773
11,2024-05-05T03:30:00Z,2024-05-05,10,0.0,560.441,794.773
12,2024-05-05T04:00:00Z,2024-05-05,11,41.0,498.016,770.112
13,2024-05-05T04:30:00Z,2024-05-05,12,185.0,498.016,770.112
14,2024-05-05T05:00:00Z,2024-05-05,13,499.0,468.028,744.277
15,2024-05-05T05:30:00Z,2024-05-05,14,1000.0,468.028,744.277
16,2024-05-05T06:00:00Z,2024-05-05,15,1679.0,431.204,706.97
17,2024-05-05T06:30:00Z,2024-05-05,16,2479.0,431.204,706.97
18,2024-05-05T07:00:00Z,2024-05-05,17,3233.0,392.29449999999997,654.6735
19,2024-05-05T07:30:00Z,2024-05-05,18,4080.5,392.29449999999997,654.6735
20,2024-05-05T08:00:00Z,2024-05-05,19,4913.0,386.3145,664.7535
21,2024-05-05T08:30:00Z,2024-05-05,20,5661.0,386.3145,664.7535
22,2024-05-05T09:00:00Z,2024-05-05,21,6259.5,415.88800000000003,706.585
23,2024-05-05T09:30:00Z,2024-05-05,22,6690.5,415.88800000000003,706.585
24,2024-05-05T10:00:00Z,2024-05-05,23,6944.0,446.283,755.0375
25,2024-05-05T10:30:00Z,2024-05-05,24,6997.5,446.283,755.0375
26,2024-05-05T11:00:00Z,2024-05-05,25,6718.333333333333,510.383,820.523
27,2024-05-05T11:30:00Z,2024-05-05,26,6433.333333333333,510.383,820.523
28,2024-05-05T12:00:00Z,2024-05-05,27,6196.0,596.1726666666667,845.4746666666666
29,2024-05-05T12:30:00Z,2024-05-05,28,5968.666666666667,596.1726666666667,845.4746666666666
30,2024-05-05T13:00:00Z,2024-05-05,29,5689.666666666667,733.5210000000001,860.4290000000001
31,2024-05-05T13:30:00Z,2024-05-05,30,5344.0,733.5210000000001,860.4290000000001
32,2024-05-05T14:00:00Z,2024-05-05,31,4937.333333333333,934.2346666666667,882.552
33,2024-05-05T14:30:00Z,2024-05-05,32,4509.666666666667,934.2346666666667,882.552
34,2024-05-05T15:00:00Z,2024-05-05,33,4084.0,1119.176333333333,900.5903333333332
35,2024-05-05T15:30:00Z,2024-05-05,34,3575.3333333333335,1119.176333333333,900.5903333333332
36,2024-05-05T16:00:00Z,2024-05-05,35,2921.6666666666665,1260.532,878.2583333333333
37,2024-05-05T16:30:00Z,2024-05-05,36,2261.3333333333335,1260.532,878.2583333333333
38,2024-05-05T17:00:00Z,2024-05-05,37,1728.3333333333333,1282.8463333333334,825.1103333333334
39,2024-05-05T17:30:00Z,2024-05-05,38,1253.3333333333333,1282.8463333333334,825.1103333333334
40,2024-05-05T18:00:00Z,2024-05-05,39,759.6666666666666,1255.304,734.9639999999999
41,2024-05-05T18:30:00Z,2024-05-05,40,342.0,1255.304,734.9639999999999
42,2024-05-05T19:00:00Z,2024-05-05,41,101.33333333333333,1173.2803333333334,655.616
43,2024-05-05T19:30:00Z,2024-05-05,42,0.0,1173.2803333333334,655.616
44,2024-05-05T20:00:00Z,2024-05-05,43,0.0,1135.6943333333334,629.7566666666667
45,2024-05-05T20:30:00Z,2024-05-05,44,0.0,1135.6943333333334,629.7566666666667
46,2024-05-05T21:00:00Z,2024-05-05,45,0.0,1047.8549999999998,606.4183333333334
47,2024-05-05T21:30:00Z,2024-05-05,46,0.0,1047.8549999999998,606.4183333333334
